"State","year","seats"
"Alabama",2010,7
"Alaska",2010,1
"Arizona",2010,9
"Arkansas",2010,4
"California",2010,53
"Colorado",2010,7
"Connecticut",2010,5
"Delaware",2010,1
"Florida",2010,27
"Georgia",2010,14
"Hawaii",2010,2
"Idaho",2010,2
"Illinois",2010,18
"Indiana",2010,9
"Iowa",2010,4
"Kansas",2010,4
"Kentucky",2010,6
"Louisiana",2010,6
"Maine",2010,2
"Maryland",2010,8
"Massachusetts",2010,9
"Michigan",2010,14
"Minnesota",2010,8
"Mississippi",2010,4
"Missouri",2010,8
"Montana",2010,1
"Nebraska",2010,3
"Nevada",2010,4
"New Hampshire",2010,2
"New Jersey",2010,12
"New Mexico",2010,3
"New York",2010,27
"North Carolina",2010,13
"North Dakota",2010,1
"Ohio",2010,16
"Oklahoma",2010,5
"Oregon",2010,5
"Pennsylvania",2010,18
"Rhode Island",2010,2
"South Carolina",2010,7
"South Dakota",2010,1
"Tennessee",2010,9
"Texas",2010,36
"Utah",2010,4
"Vermont",2010,1
"Virginia",2010,11
"Washington",2010,10
"West Virginia",2010,3
"Wisconsin",2010,8
"Wyoming",2010,1
"Alabama",2000,7
"Alaska",2000,1
"Arizona",2000,8
"Arkansas",2000,4
"California",2000,53
"Colorado",2000,7
"Connecticut",2000,5
"Delaware",2000,1
"Florida",2000,25
"Georgia",2000,13
"Hawaii",2000,2
"Idaho",2000,2
"Illinois",2000,19
"Indiana",2000,9
"Iowa",2000,5
"Kansas",2000,4
"Kentucky",2000,6
"Louisiana",2000,7
"Maine",2000,2
"Maryland",2000,8
"Massachusetts",2000,10
"Michigan",2000,15
"Minnesota",2000,8
"Mississippi",2000,4
"Missouri",2000,9
"Montana",2000,1
"Nebraska",2000,3
"Nevada",2000,3
"New Hampshire",2000,2
"New Jersey",2000,13
"New Mexico",2000,3
"New York",2000,29
"North Carolina",2000,13
"North Dakota",2000,1
"Ohio",2000,18
"Oklahoma",2000,5
"Oregon",2000,5
"Pennsylvania",2000,19
"Rhode Island",2000,2
"South Carolina",2000,6
"South Dakota",2000,1
"Tennessee",2000,9
"Texas",2000,32
"Utah",2000,3
"Vermont",2000,1
"Virginia",2000,11
"Washington",2000,9
"West Virginia",2000,3
"Wisconsin",2000,8
"Wyoming",2000,1
"Alabama",1990,7
"Alaska",1990,1
"Arizona",1990,6
"Arkansas",1990,4
"California",1990,52
"Colorado",1990,6
"Connecticut",1990,6
"Delaware",1990,1
"Florida",1990,23
"Georgia",1990,11
"Hawaii",1990,2
"Idaho",1990,2
"Illinois",1990,20
"Indiana",1990,10
"Iowa",1990,5
"Kansas",1990,4
"Kentucky",1990,6
"Louisiana",1990,7
"Maine",1990,2
"Maryland",1990,8
"Massachusetts",1990,10
"Michigan",1990,16
"Minnesota",1990,8
"Mississippi",1990,5
"Missouri",1990,9
"Montana",1990,1
"Nebraska",1990,3
"Nevada",1990,2
"New Hampshire",1990,2
"New Jersey",1990,13
"New Mexico",1990,3
"New York",1990,31
"North Carolina",1990,12
"North Dakota",1990,1
"Ohio",1990,19
"Oklahoma",1990,6
"Oregon",1990,5
"Pennsylvania",1990,21
"Rhode Island",1990,2
"South Carolina",1990,6
"South Dakota",1990,1
"Tennessee",1990,9
"Texas",1990,30
"Utah",1990,3
"Vermont",1990,1
"Virginia",1990,11
"Washington",1990,9
"West Virginia",1990,3
"Wisconsin",1990,9
"Wyoming",1990,1
"Alabama",1980,7
"Alaska",1980,1
"Arizona",1980,5
"Arkansas",1980,4
"California",1980,45
"Colorado",1980,6
"Connecticut",1980,6
"Delaware",1980,1
"Florida",1980,19
"Georgia",1980,10
"Hawaii",1980,2
"Idaho",1980,2
"Illinois",1980,22
"Indiana",1980,10
"Iowa",1980,6
"Kansas",1980,5
"Kentucky",1980,7
"Louisiana",1980,8
"Maine",1980,2
"Maryland",1980,8
"Massachusetts",1980,11
"Michigan",1980,18
"Minnesota",1980,8
"Mississippi",1980,5
"Missouri",1980,9
"Montana",1980,2
"Nebraska",1980,3
"Nevada",1980,2
"New Hampshire",1980,2
"New Jersey",1980,14
"New Mexico",1980,3
"New York",1980,34
"North Carolina",1980,11
"North Dakota",1980,1
"Ohio",1980,21
"Oklahoma",1980,6
"Oregon",1980,5
"Pennsylvania",1980,23
"Rhode Island",1980,2
"South Carolina",1980,6
"South Dakota",1980,1
"Tennessee",1980,9
"Texas",1980,27
"Utah",1980,3
"Vermont",1980,1
"Virginia",1980,10
"Washington",1980,8
"West Virginia",1980,4
"Wisconsin",1980,9
"Wyoming",1980,1
"Alabama",1970,7
"Alaska",1970,1
"Arizona",1970,4
"Arkansas",1970,4
"California",1970,43
"Colorado",1970,5
"Connecticut",1970,6
"Delaware",1970,1
"Florida",1970,15
"Georgia",1970,10
"Hawaii",1970,2
"Idaho",1970,2
"Illinois",1970,24
"Indiana",1970,11
"Iowa",1970,6
"Kansas",1970,5
"Kentucky",1970,7
"Louisiana",1970,8
"Maine",1970,2
"Maryland",1970,8
"Massachusetts",1970,12
"Michigan",1970,19
"Minnesota",1970,8
"Mississippi",1970,5
"Missouri",1970,10
"Montana",1970,2
"Nebraska",1970,3
"Nevada",1970,1
"New Hampshire",1970,2
"New Jersey",1970,15
"New Mexico",1970,2
"New York",1970,39
"North Carolina",1970,11
"North Dakota",1970,1
"Ohio",1970,23
"Oklahoma",1970,6
"Oregon",1970,4
"Pennsylvania",1970,25
"Rhode Island",1970,2
"South Carolina",1970,6
"South Dakota",1970,2
